obj_id,source_path,dest_path,files,top_level_dirs
OBJ_0119,Stonebock/Datenbank/Objekt 119,objects/OBJ_0119,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0120,Stonebock/Datenbank/Objekt 120,objects/OBJ_0120,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0121,Stonebock/Datenbank/Objekt 121,objects/OBJ_0121,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0122,Stonebock/Datenbank/Objekt 122,objects/OBJ_0122,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0123,Stonebock/Datenbank/Objekt 123,objects/OBJ_0123,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0124,Stonebock/Datenbank/Objekt 124,objects/OBJ_0124,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0125,Stonebock/Datenbank/Objekt 125,objects/OBJ_0125,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0126,Stonebock/Datenbank/Objekt 126,objects/OBJ_0126,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0127,Stonebock/Datenbank/Objekt 127,objects/OBJ_0127,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0128,Stonebock/Datenbank/Objekt 128,objects/OBJ_0128,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0129,Stonebock/Datenbank/Objekt 129,objects/OBJ_0129,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0130,Stonebock/Datenbank/Objekt 130,objects/OBJ_0130,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0131,Stonebock/Datenbank/Objekt 131,objects/OBJ_0131,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0132,Stonebock/Datenbank/Objekt 132,objects/OBJ_0132,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0133,Stonebock/Datenbank/Objekt 133,objects/OBJ_0133,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0134,Stonebock/Datenbank/Objekt 134,objects/OBJ_0134,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0135,Stonebock/Datenbank/Objekt 135,objects/OBJ_0135,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0136,Stonebock/Datenbank/Objekt 136,objects/OBJ_0136,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0137,Stonebock/Datenbank/Objekt 137,objects/OBJ_0137,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0138,Stonebock/Datenbank/Objekt 138,objects/OBJ_0138,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0139,Stonebock/Datenbank/Objekt 139,objects/OBJ_0139,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0140,Stonebock/Datenbank/Objekt 140,objects/OBJ_0140,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0141,Stonebock/Datenbank/Objekt 141,objects/OBJ_0141,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0142,Stonebock/Datenbank/Objekt 142,objects/OBJ_0142,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0143,Stonebock/Datenbank/Objekt 143,objects/OBJ_0143,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0144,Stonebock/Datenbank/Objekt 144,objects/OBJ_0144,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0145,Stonebock/Datenbank/Objekt 145,objects/OBJ_0145,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0146,Stonebock/Datenbank/Objekt 146,objects/OBJ_0146,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
